COLLECTION_NAME,ARTIST,ASPECT_RATIO,CURATION_STATUS,IS_DYNAMIC,SCRIPT_TYPE,SERIES,USE_HASH,COUNT_TOKEN,DAYS_SINCE_MINT,FEATURE_NUMBER,TRAITS_NUMBER,MINT_CURRENCY,MINT_DURATION,AUGUST_SALE_COUNT,AUGUST_SALE_PRICE
"Synapses by Chaosconstruct","Chaosconstruct","1","curated",true,"p5js","3",true,700,149,3,8,ETH,5,361,10662.165329997457
"Talking Blocks by REMO x DCsan","REMO x DCsan","1","factory",true,"p5js","N/A",true,534,44,7,16,ETH,94,259,1206.5471327143357
"Tangled by Superblob","Superblob","1","factory",true,"p5js","N/A",true,2,27,4,10,ETH,1,2,277.90700000000004
"The Blocks of Art by Shvembldr","Shvembldr","1","curated",true,"p5js","3",true,500,96,21,44,ETH,4,89,44912.57003953227
"The Eternal Pump by Dmitri Cherniak","Dmitri Cherniak","1","playground",true,"threejs","N/A",true,50,191,10,22,ETH,2,8,693024.0507341921
"The Liths of Sisyphus by nonfigurativ","nonfigurativ","1","factory",true,"threejs","N/A",true,777,23,13,26,ETH,9,1352,1587.2167762565537
"The Opera by Luke Shannon","Luke Shannon","1","factory",true,"p5js","N/A",true,256,123,9,20,ETH,4,75,10520.801842944022
"Timepiece by WAWAA","WAWAA","1","factory",true,"p5js","N/A",true,988,25,13,28,ETH,8,1801,2652.5198956685003
"Transitions by Jason Ting x Matt Bilfield","Jason Ting x Matt Bilfield","1","factory",true,"threejs","N/A",true,3765,32,7,16,ETH,5,2428,1202.2252436596857
"Traversals by Loren Bednar","Loren Bednar","1","factory",true,"p5js","N/A",true,151,95,7,16,ETH,35,59,16344.181449545216
"Breathe You by raregonzo","raregonzo","1","factory",true,"js","N/A",true,264,65,2,6,ETH,33,139,2973.33709435731
"Brushpops by Matty Mariansky","Matty Mariansky","1","factory",true,"p5js","N/A",true,338,2,7,16,ETH,16,462,4212.893047574642
"Bubble Blobby by Jason Ting","Jason Ting","1","curated",true,"regl","3",true,500,116,6,14,ETH,16,179,13936.558965048685
"CENTURY by Casey REAS","Casey REAS","1","curated",true,"p5js","3",true,999,68,12,20,ETH,1,340,17232.110260784706
"Calendart by steen & n-e-o","steen & n-e-o","1","factory",true,"p5js","N/A",true,365,16,5,12,ETH,15,1009,3172.0407704470367
"CatBlocks by Kristy Glas","Kristy Glas","1","factory",true,"p5js","N/A",true,512,95,11,24,ETH,5,317,8903.048343356511
"Cells by Hevey","Hevey","1","factory",true,"p5js","N/A",true,1817,29,28,44,ETH,7,3664,1081.1010248094876
"Chromie Squiggle by Snowfro","Snowfro","1.5","curated",true,"p5js","1",true,6779,240,9,6,ETH,270,847,36589.70562361506
"Color Magic Planets by Bård Ionson","Bård Ionson","1","factory",true,"p5js","N/A",true,260,86,8,8,ETH,67,85,3072.150246798913
"Color Study by Jeff Davis","Jeff Davis","1","playground",true,"p5js","N/A",true,2000,195,4,8,ETH,14,202,4447.11434962188
"CryptoGodKing by Steve Pikelny","Steve Pikelny","1","factory",true,"p5js","N/A",true,180,131,10,22,ETH,51,48,10079.026768428947
"CryptoVenetian by Bright Moments","Bright Moments","1","factory",true,"js","N/A",true,1071,37,7,16,ETH,51,264,17678.562633619138
"Cryptoblots by Daïm Aggott-Hönsch","Daïm Aggott-Hönsch","1","curated",true,"p5js","1",true,1921,217,4,10,ETH,74,807,5035.061974293972
"Cyber Cities by pxlq","pxlq","1","playground",true,"p5js","N/A",true,256,206,5,8,ETH,2,49,9803.045097345434
"Dear Hash, by MODNAR WOLF","MODNAR WOLF","1","factory",true,"p5js","N/A",true,419,58,3,10,ETH,98,145,3532.9360194776027
"Divisions by Michael Connolly","Michael Connolly","0.714286","playground",true,"p5js","N/A",true,499,61,7,16,ETH,2,242,11809.77822281845
"Divisions by Michael Connolly","Michael Connolly","0.714286","factory",true,"p5js","N/A",true,1,62,7,16,ETH,2,242,11809.77822281845
"Dot Grid by Collin Kasbergen","Collin Kasbergen","1","factory",true,"p5js","N/A",true,2,20,1,2,ETH,1,2,305.49213925549543
"Dot Matrix Gradient Study by Jake Rockland","Jake Rockland","1","factory",true,"p5js","N/A",true,622,4,7,16,ETH,1,1527,7071.000312806937
"Dreams by Joshua Bagley","Joshua Bagley","1","curated",true,"p5js","3",true,700,75,12,26,ETH,4,247,17007.549977016814
"Gen 3 by DCA","DCA","1","playground",true,"p5js","N/A",true,987,53,24,50,ETH,96,400,1513.236412970723
"Geometry Runners by Rich Lord","Rich Lord","1.77777","factory",true,"threejs","N/A",true,2,20,9,20,ETH,16,4880,26741.264080059755
"Geometry Runners by Rich Lord","Rich Lord","1.77777","curated",true,"threejs","4",true,3150,5,9,20,ETH,16,4880,26741.264080059755
"Gizmobots by Mark Cotton","Mark Cotton","1","factory",true,"p5js","N/A",true,1,56,1,2,ETH,1,,
"Gizmobotz by Mark Cotton","Mark Cotton","1","factory",true,"p5js","N/A",true,1289,46,18,2,ETH,1,681,1540.4864183060872
"Good Vibrations by Aluan Wang","Aluan Wang","1","factory",true,"p5js","N/A",true,2503,11,16,34,ETH,7,4650,1479.8211876730563
"Gravity 12 by Jimmy Herdberg","Jimmy Herdberg","1","factory",true,"p5js","N/A",true,512,60,6,14,ETH,12,291,3339.1667409729357
"Gravity Grid by Eliya Stein","Eliya Stein","1","factory",true,"p5js","N/A",true,81,139,7,16,ETH,17,30,9722.100242462875
"Hashtractors by Darien Brito","Darien Brito","1.0","factory",true,"p5js","N/A",true,130,66,5,12,ETH,12,81,10461.579794342291
"Hieroglyphs by pxlq","pxlq","1","playground",true,"p5js","N/A",true,1005,135,7,16,ETH,99,371,2361.032441246643
"High Tide by Artem Verkhovskiy x Andy Shaw","Artem Verkhovskiy x Andy Shaw","1","factory",true,"p5js","N/A",true,1,2,1,2,ETH,1,1,824.2329865753942
"Dynamic Slices by pxlq","pxlq","1","curated",true,"p5js","1",true,512,263,4,6,ETH,1,133,18698.618141196614
"Eccentrics by Radix","Radix","1.0","playground",true,"p5js","N/A",true,400,63,13,28,ETH,2,97,13097.855328072403
"Ecumenopolis by Joshua Bagley","Joshua Bagley","1","playground",true,"p5js","N/A",true,1310,35,16,33,ETH,1,817,32803.98579769274
"Elementals by Michael Connolly","Michael Connolly","1","curated",true,"p5js","3",true,600,138,9,20,ETH,13,158,15243.644361098744
"Elevated Deconstructions by luxpris","luxpris","1","curated",true,"p5js","1",true,200,254,1,2,ETH,2,28,201962.3479452468
"Empyrean by Generative Artworks","Generative Artworks","1/1","factory",true,"p5js","N/A",true,500,153,22,32,ETH,35,85,3032.042117380362
"Enchiridion by Generative Artworks","Generative Artworks","1/1","factory",true,"p5js","N/A",true,1024,58,7,16,ETH,7,454,1440.179211468736
"Endless Nameless by Rafaël Rozendaal","Rafaël Rozendaal","1","curated",true,"js","4",true,1003,33,2,6,ETH,3,571,5831.156619964413
"EnergySculpture by Beervangeer","Beervangeer","100/100","playground",true,"p5js","N/A",true,369,184,4,8,ETH,2,156,4942.25881775654
"Ensō by Matto","Matto","1","factory",true,"p5js","N/A",true,1222,53,11,24,ETH,128,597,1178.5390912733455
"Event Horizon Sunset (Series C) by Jake Brukhman","Jake Brukhman","1","factory",true,"p5js","N/A",true,507,77,2,6,ETH,67,169,1422.454911668604
"Fake Internet Money by Steve Pikelny","Steve Pikelny","1.75","factory",true,"p5js","N/A",true,192,1,16,34,ETH,5,20,10866.081790407028
"Fidenza by Tyler Hobbs","Tyler Hobbs","0.833333","curated",true,"p5js","3",true,998,82,11,24,ETH,9,182,388634.2975158869
"Fidenza by Tyler Hobbs","Tyler Hobbs","0.833333","factory",true,"p5js","N/A",true,1,90,11,24,ETH,9,182,388634.2975158869
"Flowers by RVig","RVig","1","factory",true,"p5js","N/A",true,482,30,13,28,ETH,7,911,624.6614918612275
"Frammenti by Stefano Contiero","Stefano Contiero","1","curated",true,"p5js","3",true,555,102,19,40,ETH,6,177,30506.43611738548
"Galaxiss by Xenoliss","Xenoliss","1","factory",true,"threejs","N/A",true,617,108,5,12,ETH,107,243,2991.4728626659726
"Gazettes by Redlioneye Gazette","Redlioneye Gazette","1","factory",true,"p5js","N/A",true,1084,59,6,14,ETH,126,750,813.456059300917
