COLLECTION_NAME,YEAR_MONTH,SALE_COUNT,PRICE_USD,PRICE_RANGE
"(Dis)entanglement by onlygenerated",2021-6,1,181.66447015596023,0
"27-Bit Digital by kai",2021-2,1136,305.5964118421814,5751.823314934163
"27-Bit Digital by kai",2021-3,76,786.3655778515899,8568.44324184521
"27-Bit Digital by kai",2021-4,29,476.37818216053915,5991.7563238670555
"27-Bit Digital by kai",2021-5,41,282.94238311326876,950.9574706452044
"27-Bit Digital by kai",2021-6,93,503.5540380780795,2095.105262237124
"27-Bit Digital by kai",2021-7,185,957.0743271730528,6922.6664492895625
"27-Bit Digital by kai",2021-8,419,4849.778777050402,29944.123540770306
"27-Bit Digital by kai",2021-9,28,7319.395996221548,7993.054688431698
"70s Pop Ghost Bonus Pack 👻 by Daniel Catt",2021-7,137,809.9127454269375,3401.430037225016
"70s Pop Ghost Bonus Pack 👻 by Daniel Catt",2021-8,26,16823.425924056788,43719.80120486535
"70s Pop Series One by Daniel Catt",2021-4,330,381.83903696399983,2602.12570408595
"70s Pop Series One by Daniel Catt",2021-5,12,453.7942043359949,587.0754549690903
"70s Pop Series One by Daniel Catt",2021-6,22,404.1267646647326,1565.736257009786
"70s Pop Series One by Daniel Catt",2021-7,33,665.4200648303705,1056.065817239815
"70s Pop Series One by Daniel Catt",2021-8,59,4644.408899539685,15826.384390779851
"70s Pop Series One by Daniel Catt",2021-9,3,5402.886765832426,3539.4005877258996
"70s Pop Series Two by Daniel Catt",2021-6,332,287.5469799521211,2250.198369455142
"70s Pop Series Two by Daniel Catt",2021-7,53,628.5792101414809,4105.9834551594095
"70s Pop Series Two by Daniel Catt",2021-8,57,4225.857287072192,16371.424802215852
"70s Pop Series Two by Daniel Catt",2021-9,1,4522.94553844381,0
"70s Pop Super Fun Summertime Bonus Pack 🍸 by Daniel Catt",2021-5,11,351.12797510939146,661.3200302810391
"70s Pop Super Fun Summertime Bonus Pack 🍸 by Daniel Catt",2021-6,8,315.2875610504715,221.36856682809284
"70s Pop Super Fun Summertime Bonus Pack 🍸 by Daniel Catt",2021-7,12,1183.1508462578356,3315.5870195390075
"70s Pop Super Fun Summertime Bonus Pack 🍸 by Daniel Catt",2021-8,7,11416.146434949938,16620.987599967844
"70s Pop Super Fun Summertime Bonus Pack 🍸 by Daniel Catt",2021-9,1,21283.421840882533,0
